hpi_type,hpi_flavor,frequency,level,place_name,place_id,yr,period,index_nsa,index_sa
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,9,178.11,175.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,10,178.61,176.93
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,11,178.58,177.86
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2003,12,178.61,178.66
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,1,177.55,178.37
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,2,179.35,179.98
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,3,180.48,180.19
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,4,182.07,180.74
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,5,183.97,181.43
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,6,185.15,182.22
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,7,185.87,182.87
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,8,186.37,183.50
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,9,185.97,183.70
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,10,186.32,184.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,11,186.11,185.46
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2004,12,185.69,185.89
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,1,185.67,186.76
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,2,185.33,186.13
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,3,187.77,187.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,4,189.72,188.32
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,5,191.35,188.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,6,192.19,188.90
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,7,192.64,189.37
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,8,192.79,189.61
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,9,193.42,191.07
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,10,193.17,191.45
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,11,192.11,191.54
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2005,12,191.02,191.44
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,1,190.58,191.94
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,2,191.00,191.94
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,3,192.16,192.06
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,4,194.33,192.96
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,5,195.67,192.50
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,6,195.55,191.91
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,7,195.58,192.09
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,8,194.98,191.57
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,9,194.15,191.72
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,10,192.91,191.27
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,11,191.19,190.59
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2006,12,190.78,191.42
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,1,190.74,192.34
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,2,190.42,191.51
traditional,purchase-only,monthly,USA or Census Division,East North Central Division,DV_ENC,2007,3,191.47,191.59
